Year,LoanCharacteristicsID,Bank,FIPSStateNumericCode,FIPSCountyCode,CoreBasedStatisticalAreaCode,CensusTractMinorityRatioPercent,CensusTractMedFamIncomeAmount,LocalAreaMedianIncomeAmount,HUDMedianIncomeAmount,TotalMonthlyIncomeAmount,LTVRatioPercent,NoteRatePercent,NoteAmount,HousingExpenseRatioPercent,TotalDebtExpenseRatioPercent,Borrower1CreditScoreValue,Borrower2CreditScoreValue,PMICoveragePercent,LoanPurposeType,ProductCategoryName,MortgageType,ScheduledTotalPaymentCount,LoanAmortizationMaxTermMonths,MortgageLoanSellerInstType,PropertyUsageType,PropertyUnitCount,PropertyType,BorrowerCount,BorrowerFirstTimeHomebuyer,Borrower1AgeAtApplicationYears,Borrower2AgeAtApplicationYears,Borrower1SexType,Borrower2SexType,Borrower1Race1Type,Borrower2Race1Type,EmploymentBorrowerSelfEmployed,min_credit_score,avg_age
2024,2823443,Dallas,48,375,11100,25.09,156161,82962,87600,10416,80,7,239200,21.56,37.17,3,5,0,1,01,0,360,360,01,1,1,PT01,2,0,26,28,2,1,5,5,0,3,27
2024,2823444,Dallas,47,157,32820,32.359,130000,78701,84000,6594,85,7,212415,27.76,31.59,4,4,12,1,01,0,360,360,01,1,1,PT01,2,1,30,33,2,1,5,5,0,4,31.5
2024,2823445,Dallas,28,059,25060,37.886,86398,72242,76800,11181,80,7.25,208800,1.81,21.11,5,5,0,1,01,0,360,360,01,2,1,PT01,2,0,76,67,1,2,5,5,0,5,71.5
2024,2823446,Dallas,48,441,10180,16.055,120787,76762,85600,8517,65,7.5,414300,43.88,46.08,5,NA,0,6,01,0,360,360,01,1,1,PT01,1,0,44,NA,2,NA,5,8,0,5,44
2024,2823447,Dallas,48,441,10180,27.248,128019,76762,85600,9584,75,7,202425,20.35,20.84,4,NA,0,1,01,0,360,360,01,1,1,PT07,1,1,66,NA,1,NA,2,8,0,4,66
2024,2823448,Dallas,48,439,19100,42.5,107203,99957,107300,5417,79,6.875,280000,46.89,47.36,4,NA,0,1,01,0,360,360,01,1,1,PT07,1,1,23,NA,1,NA,NA,8,0,4,23
2024,2823449,Dallas,48,451,41660,28.18,97906,80890,78000,21680,80,6.875,640000,23.96,34.37,4,NA,0,1,01,0,360,360,01,1,1,PT01,1,0,36,NA,1,NA,5,8,1,4,36
2024,2823451,Dallas,13,219,12020,22.135,136439,85162,90900,35001,95,6.625,688750,15.16,20.51,5,5,30,1,01,0,360,360,01,1,1,PT07,2,0,44,43,2,1,5,5,0,5,43.5
2024,2823452,Dallas,48,167,26420,13.484,165104,92750,95200,8029,65,6.875,250000,12.77,45.79,5,5,0,1,01,0,360,360,01,2,1,PT01,2,0,47,44,1,2,5,5,0,5,45.5
2024,2823453,Dallas,48,485,48660,21.418,104500,78550,81400,8206,77,7.5,226850,26.95,46.26,4,4,0,1,01,0,360,360,01,1,1,PT01,2,0,27,32,2,2,5,5,0,4,29.5
2024,2823454,Dallas,05,023,99999,8.127,64293,64091,68000,24404,90,6.875,425250,0,15.72,4,NA,25,1,01,0,360,360,01,2,1,PT01,1,0,48,NA,2,NA,5,8,0,4,48
