Year,LoanCharacteristicsID,Bank,FIPSStateNumericCode,FIPSCountyCode,CoreBasedStatisticalAreaCode,CensusTractIdentifier,CensusTractMinorityRatioPercent,CensusTractMedFamIncomeAmount,LocalAreaMedianIncomeAmount,TotalMonthlyIncomeAmount,HUDMedianIncomeAmount,LoanAcquisitionActualUPBAmt,LTVRatioPercent,NoteDate,LoanAcquisitionDate,LoanPurposeType,ProductCategoryName,MortgageType,ScheduledTotalPaymentCount,LoanAmortizationMaxTermMonths,MortgageLoanSellerInstType,BorrowerCount,BorrowerFirstTimeHomebuyer,Borrower1Race1Type,Borrower2Race1Type,Borrower1SexType,Borrower2SexType,Borrower1AgeAtApplicationYears,Borrower2AgeAtApplicationYears,PropertyUsageType,PropertyUnitCount,NoteRatePercent,NoteAmount,HousingExpenseRatioPercent,TotalDebtExpenseRatioPercent,Borrower1CreditScoreValue,Borrower2CreditScoreValue,PMICoveragePercent,EmploymentBorrowerSelfEmployed,PropertyType,IndexSourceType,MarginRatePercent,PrepaymentPenaltyExpirationDate,Borrower1EthnicityType,Borrower1Race2Type,Borrower1Race3Type,Borrower1Race4Type,Borrower1Race5Type,Borrower2EthnicityType,Borrower2Race2Type,Borrower2Race3Type,Borrower2Race4Type,Borrower2Race5Type,HOEPALoanStatusType,LienPriorityType
2024,2817457,Dallas,48,329,33260,0011.00,74.556,87196,107796,10524,91500,191250,85,2024,2024,1,01,0,360,360,01,2,0,5,5,1,2,53,52,1,1,7,191250,16.08,47.77,2,4,12,0,PT01,99,9999,9999-12-31,1,7,7,7,7,1,7,7,7,7,2,1
2024,2817458,Dallas,45,045,24860,0032.03,29.103,72679,82045,5417,84700,284742,83,2024,2024,2,01,0,360,360,01,1,0,5,8,1,4,35,998,1,1,6.5,285000,38.35,46.32,4,9,12,0,PT01,99,9999,9999-12-31,2,7,7,7,7,5,8,8,8,8,2,1
2024,2817459,Dallas,48,397,19100,0404.07,31.593,213237,99957,13601,107300,358960,95,2024,2024,1,01,0,360,360,01,2,0,5,5,2,1,30,31,1,1,6.875,358960,23.9,48.19,5,5,30,0,PT01,99,9999,9999-12-31,2,7,7,7,7,2,7,7,7,7,2,1
2024,2817460,Dallas,47,093,28940,0059.07,17.656,123750,84160,11129,89000,432628,80,2024,2024,1,01,0,360,360,01,1,0,2,8,1,4,37,998,1,1,7.125,432628,28.96,38.95,4,9,0,0,PT07,99,9999,9999-12-31,3,7,7,7,7,5,8,8,8,8,2,1
2024,2817461,Dallas,47,093,28940,0057.11,16.451,125923,84160,21466,89000,500000,69,2024,2024,1,01,0,360,360,01,2,0,5,5,2,1,42,41,1,1,6.75,500000,16.98,18.71,5,5,0,0,PT07,99,9999,9999-12-31,2,7,7,7,7,2,7,7,7,7,2,1
2024,2817462,Dallas,48,303,31180,0104.19,32.901,124190,80497,9081,85800,396000,53,2024,2024,2,01,0,360,360,01,1,0,5,8,1,4,60,998,1,1,6.5,396000,42.78,42.78,5,9,0,0,PT07,99,9999,9999-12-31,2,7,7,7,7,5,8,8,8,8,2,1
2024,2817463,Dallas,48,441,10180,0135.02,16.055,120787,76762,7333,85600,317100,86,2024,2024,2,01,0,360,360,01,2,0,5,5,1,2,25,25,1,1,7.125,317100,41.01,43.92,4,5,25,0,PT07,99,9999,9999-12-31,2,7,7,7,7,2,7,7,7,7,2,1
2024,2817464,Dallas,48,245,13140,0110.02,26.012,108468,74166,4979,87800,124800,80,2023,2024,1,01,0,360,360,01,1,1,5,8,2,4,23,998,1,1,6.25,124800,24.27,25.34,5,9,0,0,PT01,99,9999,9999-12-31,2,7,7,7,7,5,8,8,8,8,2,1
2024,2817465,Dallas,48,303,31180,0104.19,32.901,124190,80497,4584,85800,185000,48,2024,2024,6,01,0,360,360,01,1,0,5,8,2,4,57,998,1,1,7,185000,42.36,49.3,5,9,0,0,PT01,99,9999,9999-12-31,2,7,7,7,7,5,8,8,8,8,2,1
2024,2817466,Dallas,48,303,31180,0004.02,51.512,67250,80497,6211,85800,161500,95,2024,2024,1,01,0,360,360,01,2,0,5,5,1,2,35,35,1,1,6.5,161500,22.21,49.9,5,5,30,1,PT01,99,9999,9999-12-31,2,7,7,7,7,2,7,7,7,7,2,1
2024,2817467,Dallas,48,303,31180,0107.00,27.428,96402,73832,6667,84300,187000,85,2023,2024,1,01,0,360,360,01,1,0,5,8,1,4,27,998,1,1,7.375,187000,28.19,28.94,5,9,12,0,PT07,99,9999,9999-12-31,2,7,7,7,7,5,8,8,8,8,2,1
2024,2817468,Dallas,12,115,35840,0027.36,22.355,99672,91784,18726,97000,297000,90,2024,2024,1,01,0,360,360,01,2,0,5,5,2,1,53,45,2,1,7.125,297000,11.57,39.5,4,4,25,1,PT01,99,9999,9999-12-31,3,7,7,7,7,2,7,7,7,7,2,1
2024,2817469,Dallas,48,303,31180,0105.12,29.754,146823,80497,22231,85800,316800,80,2024,2024,1,01,0,360,360,01,2,0,6,6,1,2,61,60,1,1,6.375,316800,12.87,15.66,5,5,0,0,PT01,99,9999,9999-12-31,3,7,7,7,7,3,7,7,7,7,2,1
2024,2817470,Dallas,48,303,31180,0105.13,56.172,102059,80497,8063,85800,319950,77,2024,2024,1,01,0,360,360,01,1,1,5,8,1,4,25,998,1,1,7.625,319950,34.5,44.21,3,9,0,0,PT01,99,9999,9999-12-31,2,7,7,7,7,5,8,8,8,8,2,1
2024,2817471,Dallas,48,209,12420,0109.20,74.83,67748,105379,40389,122300,593750,95,2023,2024,1,01,0,360,360,01,2,1,6,5,1,1,44,70,1,1,7.25,593750,13.69,25.23,4,4,30,1,PT01,99,9999,9999-12-31,3,7,7,7,7,3,7,7,7,7,2,1
2024,2817472,Dallas,48,453,12420,0369.00,16.749,185852,105379,48198,122300,766550,59,2023,2024,1,01,0,360,360,01,1,0,5,8,2,4,34,998,1,1,7.375,766550,16.6,19.03,5,9,0,0,PT07,99,9999,9999-12-31,2,7,7,7,7,5,8,8,8,8,2,1
